First Name,Last Name,Country,Number,Team Name
Zdenek,STYBAR ,CZE,116,ETIXX-QUICK STEP
Matteo,TRENTIN ,ITA,117,ETIXX-QUICK STEP
Rigoberto,URAN URAN ,COL,118,ETIXX-QUICK STEP
Julien,VERMOTE ,BEL,119,ETIXX-QUICK STEP
Pierre,ROLLAND ,FRA,121,TEAM EUROPCAR
Bryan,COQUARD ,FRA,122,TEAM EUROPCAR
Cyril,GAUTIER ,FRA,123,TEAM EUROPCAR
Yohann,GENE ,FRA,124,TEAM EUROPCAR
Bryan ,NAULLEAU ,FRA,125,TEAM EUROPCAR
Perrig,QUEMENEUR ,FRA,126,TEAM EUROPCAR
Romain,SICARD ,FRA,127,TEAM EUROPCAR
Angelo ,TULIK ,FRA,128,TEAM EUROPCAR
Thomas,VOECKLER ,FRA,129,TEAM EUROPCAR
Robert ,GESINK ,NED,131,TEAM LOTTO NL - JUMBO
Wilco,KELDERMAN ,NED,132,TEAM LOTTO NL - JUMBO
Steven,KRUIJSWIJK ,NED,133,TEAM LOTTO NL - JUMBO
Thomas,LEEZER ,NED,134,TEAM LOTTO NL - JUMBO
Paul,MARTENS ,GER,135,TEAM LOTTO NL - JUMBO
Bram,TANKINK ,NED,136,TEAM LOTTO NL - JUMBO
Laurens,TEN DAM ,NED,137,TEAM LOTTO NL - JUMBO
Jos,VAN EMDEN ,NED,138,TEAM LOTTO NL - JUMBO
Sep,VANMARCKE ,BEL,139,TEAM LOTTO NL - JUMBO
Bauke,MOLLEMA ,NED,141,TREK FACTORY RACING
Julian,ARREDONDO MORENO,COL,142,TREK FACTORY RACING
Fabian,CANCELLARA ,SUI,143,TREK FACTORY RACING
Stijn,DEVOLDER ,BEL,144,TREK FACTORY RACING
Laurent ,DIDIER,LUX,145,TREK FACTORY RACING
Markel,IRIZAR ARRANBURU ,ESP,146,TREK FACTORY RACING
Bob,JUNGELS ,LUX,147,TREK FACTORY RACING
Gregory,RAST ,SUI,148,TREK FACTORY RACING
Haimar,ZUBELDIA AGIRRE ,ESP,149,TREK FACTORY RACING
Rui Alberto,COSTA ,POR,151,LAMPRE - MERIDA
Matteo,BONO ,ITA,152,LAMPRE - MERIDA
Davide,CIMOLAI ,ITA,153,LAMPRE - MERIDA
Kristijan,DURASEK ,CRO,154,LAMPRE - MERIDA
Nelson,OLIVEIRA ,POR,155,LAMPRE - MERIDA
Ruben,PLAZA MOLINA ,ESP,156,LAMPRE - MERIDA
Filippo,POZZATO ,ITA,157,LAMPRE - MERIDA
Jose,SERPA SANTANDER ,COL,158,LAMPRE - MERIDA
Rafael,VALLS FERRI ,ESP,159,LAMPRE - MERIDA
