Date,Time,Location,Operator,Flight Number,Route,Type,Registration,cn/In,Aboard,Fatalities,Ground
03/17/02,08:02,"Off Djibouti, Republiof Djibouti",Djibouti Airlines,582,"Mogadishu, Somalia - Djibouti",Let 410UVP-E,J2-KBC,912537,4,4,0
04/01/2002,07:25,"Near Cairns, QLD, Australia",Air Taxi,583,Cairns - Hicks Island,Shrike Commander 500S,VH-UJB,3152,4,4,0
04/12/2002,04:07,"Palma de Mallorca, Spain",Tadair,584,Madrid - Palma de Mallorca,Swearingen SA.227AC Metro III,EC-GKR,AC-620,2,2,0
04/15/02,11:23,"Busan, South Korea",Air China,585,Beijing - Busan,Boeing B-767-200ER,B-2552,23308/127,166,128,0
04/18/02,09:30,"Near Sweers Island, QLD, Australia",Air taxi,586,Mornington Island - Normanton,Cessna U206A,VH-XGR,U2060610,6,6,0
04/19/02,09:15,"Popayíçn, Colombia",SELVA Colombia,587,Medellí_n - Popayíçn,Antonov AN-32A,HK-4171X,2508,8,3,0
04/24/02,13:00,"Near Olancho, Honduras",Private,588,Unknown,Cessna 206G,N7344N,T20603622,6,6,0
04/28/02,06:15,"Near Abakan, Russia",Private,589,Unknown,Mi-8 helicopter,Unknown,Unknown,20,8,0
05/04/2002,13:30,"Kano, Nigeria",EAS Airlines (Executive Airline Services),590,Abuja - Jos - Kano - Lagos,BAC One-Eleven 525FT,5N-ESF,266,77,74,75
05/07/2002,15:17,"Near Tunis, Tunisia",EgyptAir,591,Cairo - Tunis,Boeing B-737-566,SU-GBI,25307/2135,62,14,0
05/07/2002,21:32,"Off Dalian, China",China Northern Airlines,592,Beijing - Dalian,McDonnell Douglas MD-82,B-2138,49522/17023,112,112,0
05/21/02,19:30,"Near Calabar, Nigeria",Sky Executive Air Services,593,Port Harcourt - Calabar,LET 410UVP,9Q-CEX,851402,5,5,0
05/25/02,15:29,"Off Penghu Island, Taiwan",China Airlines (Taiwan),594,Taipei - Hong Kong,Boeing B-747-209B,B-18255,21843/386,225,225,0
05/25/02,12:00,"Near Nabire, Indonesia",Trigana Air Service,595,Nabire - Enaotali,de Havilland Canada DHC-6 Twin Otter 300,PK-YPZ,458,6,6,0
06/01/2002,06:45,"George, South Africa",Airquarius Aviation - Charter,596,Bloemfontein - George,Hawker Siddeley HS-748-372,ZS-OJU,1782,3,3,0
06/02/2002,12:00,"Near Ndalatando, Angola",Military - Angolan Armed Forces,597,Luanda - demobilization camp,Mi-17,Unknown,Unknown,25,20,0
06/04/2002,12:00,"Oiapoque, Amapa, Brazil",Marco Zero Air Taxi,598,Unknown,Embraer 721C Sertanejo,PT-EPH,Unknown,5,5,0
06/11/2002,09:20,"Winnipeg, Manitoba",Keystone Air Services Ltd. - Air Taxi,599,Winnipeg Manitoba,PA- 31-350 Chieftain,C-GPOW,31-7305093,8,1,0
06/12/2002,21:24,"Near Gardez, Afghanistan",Military - U.S. Air Force,600,Unknown,Lockheed MC-130H Hercules,84-0475,5041,10,3,0
07/01/2002,23:36,"Uberlingen, Germany",Bashkirian Airlines / DHL Worldwide Express,601,Moscow-Munich-Barcelona / Bahrain/Brussels,Tupolev TU-154M / Boeing B-757-23APF,RA85816/A9C-DHL,1006 / 24635/258,71,71,0
07/04/2002,12:30,"San Dimas, California",Private,602,Unknown,Cessna 310,N8145M,310I0145,2,2,2
07/04/2002,11:15,"Bangui, Central African Republic",Prestige Airlines (Cargo) Charter,603,"N'Djamena, Chad - Brazzaville, Congo",Boeing B-707-123B,9XR-IS,19335,27,25,0
07/12/2002,11:45,"Port Alsworth, Alaska","Air Taxi - Bigfoot Air of Alaska, LLC",604,"Lake Hood, AK - Iliamna, AK",de Havilland DHC-2,N3129F,903,4,4,0
07/16/02,12:00,"Near Long Barai, Indonesia",Sabang Merauke Raya Air Charter,605,Tarakan - Krayan,Britten-Norman BN-2A Islander,PK-TAR,860,10,10,0
07/16/02,19:45,"Off Cromer, Norfork, England",Bristow Helicopters,606,Gas platform Clipper - drilling rig Golbal Sante Fe Monach,Sikorsky S-76A,G-BJVX,760100,11,11,0
07/17/02,14:22,"Surkhet, Nepal",Skyline Airways,607,Jumla - Surkhet,de Havilland Canada DHC-6 Twin Otter 300,9N-AGF,828,4,4,0
07/27/02,12:45,"Lviv, Ukraine",Military - Ukraine Air Force,608,Unknown,Sukhoi Su-27,42,Unknown,2,0,85
07/28/02,15:25,"Moscow, Russia",Pulkovo Aviation Enterprise,609,Moscow - St. Petersburgh,Iluyshin Il-86,RA-86060,51483203027,16,14,0
08/07/2002,22:00,"Caguas, Puerto Rico",Military - U.S. Air Force,610,Roosevelt Roads NS - Borinquen NGB,Lockheed MC-130H Hercules,90-0161,5265,10,10,0
08/15/02,12:35,"Kadjuduwa Watta, Sri Lanka",Military - Sri Lanka Air Force,611,Unknown,Yunshuji Y-8D,CR-873,70802,5,5,0
08/19/02,12:00,"Khankala, Chechnya",Military - Russian Air Force,612,Unknown,Mil Mi-26,89RED,Unknown,147,121,0
08/22/02,09:41,"Pokhara, Nepal",Shangri La Air,613,Jomsom - Pokhara,de Havilland Canada DHC-6-300 Twin Otter,9N-AFR,726,18,18,0
08/29/02,11:58,"Near Ayan, Russia",Vostok Aviakompania,614,Khabarovsk - Ayan,Antonov AN-28,RA-28932,1A-J008-19,16,16,0
08/30/02,13:08,"Lexington, Kentucky",Care Flight International,615,"Marco, Fl - Lexington, KY",Learjet 25C,N45CP,25-073,5,1,0
08/30/02,18:30,"Rio Branco, Brazil",Rico Taxi Aí©reo,616,Cruzeiro do Sul - Tarauaca - Rio Branco,Embraer 120ER Brasilia,PT-WRQ,120043,31,23,0
09/02/2002,12:00,"Near Xichang, China",CAAC Air TraffiManagement Bureau,617,Survey,Cessna 650 Citation VI,B-7023,650-0221,3,3,0
09/04/2002,09:00,"High Prarie, Alberta, Canada",Airco Charters - Air Taxi,618,"Edmond, Alberta - High Prarie, Alberta",PA-34-220T Seneca III,C-FRKZ,34-8233048,2,2,0
